year,Eluc,Eluc_for,Eluc_for_noshift,Fland,Fland_for,Fland_for_man
1990,3964.2119632682725,-3212.995478755906,-1080.3732276197616,-5412.645310187874,-3378.7152852256754,-2715.714835991534
1991,3985.7490213268698,-3238.7845319634453,-1087.470959557546,-5627.091362932243,-2741.0430841740304,-2362.06712805041
1992,3987.3724373822297,-3259.03786778669,-1097.675862972205,-6580.354898442858,-3986.384186467155,-3256.943758134904
1993,3833.5206584008865,-3352.103874911043,-1164.9988112303076,-7069.512483153404,-3784.285932137129,-3118.916228204478
1994,3868.880556575475,-3478.0501218518048,-1260.5530613162032,-5093.505257601331,-3147.213673729269,-2612.446649934139
1995,4162.316926105783,-3562.4211115912226,-1332.7873520117116,-6484.3107753858185,-3323.914087452863,-2807.068119918194
1996,4197.274563666739,-3552.658610415583,-1317.4692331132383,-10753.196324748935,-5879.61140800794,-4754.135936110023
1997,4255.930576729916,-3700.8210199124187,-1415.5172912184241,-8056.757426180929,-3782.9610282504905,-3177.873010643961
1998,4314.313829871921,-3809.789553870233,-1486.1133851803813,-6439.905789401807,-3258.9884651677517,-2675.989913453533
1999,4548.5606847010595,-3820.0218634005278,-1499.9977859662001,-11342.183025553159,-6332.114735938884,-5027.3429487803105
2000,4436.930266136344,-3834.608632970745,-1505.0185327341947,-12900.886529094432,-7434.158728335719,-5908.410472618944
2001,4043.1534464960723,-3968.108977714476,-1587.997496693938,-6783.443683776221,-4130.9334560647085,-3382.0620550112767
2002,3870.08571918911,-4103.474986355349,-1684.0148062093158,-6564.404558908191,-4460.985666740157,-3566.8427919320698
2003,4234.311117838413,-4142.502501109754,-1712.7983332803315,-7104.495198685112,-4216.335340917407,-3530.0535286459226
2004,4463.998693789406,-4224.526486069967,-1747.551731125551,-9153.659825995748,-5046.980266715496,-4092.1502474638473
2005,4020.4220612490417,-4284.3129265561765,-1793.7416853284687,-6626.024315658186,-4539.694583051677,-3720.8763734088234
2006,3859.7740051948567,-4375.33905584471,-1842.2107279087797,-10060.824399910573,-5652.311328441307,-4621.133197007401
2007,3796.113129170529,-4448.184786794651,-1887.2373662719772,-10207.2078729815,-5632.564899790076,-4625.437220317981
2008,3778.718236928637,-4432.244987651739,-1863.8568104540725,-13713.347040897926,-7826.52736139326,-6395.490349160469
2009,3725.3331106211963,-4584.897103670723,-1942.124726737954,-8803.361041997972,-4933.252727320819,-4076.4671355220758
2010,3951.3854274024943,-4633.817190484644,-1979.3486980532693,-11402.78296590013,-6144.574955639613,-5090.59217249121
2011,4223.2763340707625,-4651.3259679613175,-1978.5150776036965,-13116.723612476877,-7436.54888440751,-6185.12817085156
2012,3931.3830550357507,-4707.839853878463,-1995.2760104215024,-8322.406202558375,-4488.149883645413,-4039.718390273526
2013,3663.3021420872574,-4822.421165314311,-2059.802570491992,-11224.990066489641,-6235.728565639663,-5292.492290000502
2014,3404.839655213645,-4928.49058532143,-2100.0998778843204,-8987.698986190504,-4748.344519199873,-4094.8649856186476
2015,3325.756411502478,-5015.932321911647,-2134.3771214851095,-4865.604756222541,-2265.565189964882,-2204.4124546088847
2016,3237.415712972029,-5123.508755935025,-2213.9600096498875,-6966.159841758511,-3355.5936356935413,-3083.9031249286036
2017,3247.6673267664646,-5179.649710498006,-2238.8145005704155,-9861.01736074393,-4828.051201912292,-4296.694634561714
2018,3242.7157132167426,-5187.999995028555,-2212.862915982742,-12768.293410302054,-6568.209868683119,-5608.9223445711905
2019,3247.100618337162,-5255.137483150852,-2219.628416841004,-10137.303110993229,-4443.828687594099,-4035.5357285383175
2020,2849.1247074479556,-5279.4443245694665,-2221.4222222066587,-9871.596117172709,-4498.657169201555,-4175.279782619364
